Rank,Player,AVG PICK,7 DAY +/-,AVG SALARY,7 DAY +/-,%ROST
183,Derek CarrLVQB,166.9,0.0,0.5,0.0,13.3
184,Irv Smith Jr.IRMinTE,166.9,-26.8,0.3,-1.1,31.4
185,Matt PraterAriK,167.0,-1.2,0.5,0.1,34.2
186,T.Y. HiltonIRIndWR,167.1,-16.8,0.4,-0.5,37.3
187,Rodrigo BlankenshipIndK,167.1,-1.1,0.5,0.0,23.9
188,Vikings D/STMinD/ST,167.4,-0.3,0.4,0.1,27.2
189,Chiefs D/STKCD/ST,167.5,-0.2,0.2,0.1,10.6
190,Malcolm BrownMiaRB,167.6,0.3,0.4,0.0,19.6
191,Zach WilsonNYJQB,167.6,-0.8,0.4,-0.1,15.1
192,Dolphins D/STMiaD/ST,167.6,-1.2,0.3,0.1,37.9
193,Ryan SuccopTBK,167.9,-0.7,0.2,-0.1,23.3
194,Rhamondre StevensonNERB,168.0,1.5,0.4,0.2,15.8
195,Jamison CrowderONYJWR,168.2,-1.2,0.3,0.0,23.8
196,Mason CrosbyGBK,168.3,-0.2,0.3,0.1,10.4
197,Packers D/STGBD/ST,168.3,-0.5,0.2,0.0,21.2
198,Daniel JonesNYGQB,168.4,-1.3,0.3,-0.1,12.4
199,Deshaun WatsonHouQB,168.4,-0.6,0.4,-0.1,18.9
200,Sterling ShepardNYGWR,168.4,0.9,0.2,0.1,19.2
201,Terrace Marshall Jr.CarWR,168.5,0.6,0.3,0.1,18.4
202,Giovani BernardQTBRB,168.7,0.8,0.3,0.1,17.7
203,Rondale MooreAriWR,168.7,-0.1,0.3,0.0,18.3
204,Pat FreiermuthPitTE,168.9,-0.4,0.1,0.0,5.3
205,Tevin ColemanNYJRB,168.9,1.0,0.3,0.2,17.9
206,Emmanuel SandersBufWR,169.0,1.0,0.2,0.1,14.9
207,Bears D/STChiD/ST,169.0,-0.2,0.1,0.0,10.7
208,Teddy BridgewaterDenQB,169.2,0.4,0.2,0.1,4.7
209,Robbie GouldSFK,169.2,0.0,0.2,0.1,10.5
210,Latavius MurrayNORB,169.3,-2.7,0.3,0.0,20.7
211,Seahawks D/STSeaD/ST,169.3,0.0,0.1,0.0,6.8
212,Jared GoffDetQB,169.4,-0.1,0.2,0.0,5.7
213,Mark Ingram IIHouRB,169.4,-0.1,0.2,0.0,11.3
214,Carlos HydeJaxRB,169.4,0.1,0.3,0.2,15.0
215,Anthony FirkserTenTE,169.4,0.4,0.1,0.0,12.2
216,Gerald EverettSeaTE,169.5,0.5,0.1,0.1,8.5
217,Cowboys D/STDalD/ST,169.5,-0.2,0.0,0.0,2.3
218,Carson WentzQIndQB,169.5,-0.1,0.2,0.0,7.0
219,Chris BoswellPitK,169.5,-0.3,0.1,0.0,3.2
220,Josh LamboJaxK,169.5,-0.9,0.3,0.0,31.0
221,Tim TebowFATE,169.5,-0.3,0.1,0.0,1.4
222,Cam NewtonFAQB,169.5,-0.7,0.1,-0.1,6.2
223,Chase McLaughlinCleK,169.6,0.2,0.1,0.1,11.5
224,Blake JarwinDalTE,169.6,0.0,0.1,0.0,9.4
225,Sam DarnoldCarQB,169.6,0.1,0.2,0.0,5.9
226,Chuba HubbardCarRB,169.6,0.1,0.3,0.0,13.7
227,Evan McPhersonCinK,169.6,0.1,0.0,0.0,4.0
228,Taysom HillNOQB,169.7,-0.3,0.1,0.0,3.0
229,Cardinals D/STAriD/ST,169.7,-0.4,0.1,0.0,6.1
230,Jimmy GaroppoloSFQB,169.7,0.0,0.1,0.0,2.7
231,Travis Etienne Jr.IRJaxRB,169.7,-53.5,0.1,-4.8,20.8
232,Cairo SantosChiK,169.7,0.0,0.0,0.0,2.1
233,Texans D/STHouD/ST,169.7,-0.1,0.1,0.0,0.6
234,O.J. HowardTBTE,169.8,-0.1,0.1,0.0,5.2
235,Gabriel DavisBufWR,169.8,0.7,0.2,0.1,12.0
236,Trace McSorleyBalQB,169.8,-0.2,0.0,0.0,0.5
237,Titans D/STTenD/ST,169.8,-0.2,0.0,0.0,3.4
238,Jimmy GrahamChiTE,169.8,0.0,0.0,0.0,1.4
239,Jake ElliottQPhiK,169.8,-0.1,0.0,0.0,1.2
240,Eagles D/STPhiD/ST,169.8,-0.1,0.0,0.0,1.6
241,Raiders D/STLVD/ST,169.8,-0.1,0.0,0.0,0.7
242,Eli ManningNYGQB,169.8,-0.1,0.0,0.0,0.3
243,Drew BreesNOQB,169.8,-0.1,0.0,0.0,0.2
244,Bryan EdwardsLVWR,169.8,0.2,0.2,0.1,12.5
245,Todd Gurley IIFARB,169.8,0.0,0.1,0.0,3.7
246,Panthers D/STCarD/ST,169.9,-0.1,0.0,0.0,18.5
247,Amari RodgersGBWR,169.9,0.0,0.0,0.0,1.1
248,Lions D/STDetD/ST,169.9,0.0,0.0,0.0,0.4
249,Quinn NordinNEK,169.9,0.0,0.0,0.0,0.7
250,Ben DiNucciFAQB,169.9,0.0,0.0,0.0,0.2
251,Tucker McCannIRTenK,169.9,0.0,0.0,0.0,0.2
252,Cam AkersOLARRB,169.9,0.0,0.0,0.0,6.4
253,Daniel CarlsonLVK,169.9,-0.7,0.1,0.0,16.8
254,David NjokuCleTE,169.9,-0.1,0.0,0.0,0.7
255,Jon BrownFAK,169.9,0.0,0.0,0.0,0.1
256,Chargers D/STLACD/ST,169.9,-0.1,0.0,0.0,3.0
257,Stephen GostkowskiFAK,169.9,0.0,0.0,0.0,0.2
258,Marshawn LynchFARB,169.9,0.0,0.0,0.0,0.2
259,J.J. TaylorNERB,169.9,0.0,0.0,0.0,0.9
260,Kyle RudolphQNYGTE,169.9,0.0,0.0,0.0,0.6
261,Riley RidleyFAWR,169.9,0.0,0.0,0.0,0.1
262,Matt AmmendolaNYJK,169.9,-0.1,0.0,0.0,0.4
263,Blake BellKCTE,169.9,0.0,0.0,0.0,0.1
264,Adam VinatieriFAK,169.9,0.0,0.0,0.0,0.1
265,Larry FitzgeraldFAWR,169.9,0.0,0.0,0.0,0.2
266,Jake ButtChiTE,169.9,0.0,0.0,0.0,0.1
267,Anthony GordonFAQB,169.9,0.0,0.0,0.0,0.0
268,Mitchell TrubiskyBufQB,169.9,-0.1,0.0,0.0,0.4
269,Julian EdelmanQNEWR,169.9,0.0,0.0,0.0,0.3
270,Sam FickenTenK,169.9,-0.1,0.0,0.0,0.7
271,Wil LutzONOK,169.9,0.0,0.0,0.0,2.4
272,Jaguars D/STJaxD/ST,169.9,0.0,0.0,0.0,1.4
273,Tyre BradyJaxWR,169.9,0.0,0.0,0.0,0.0
274,Derek WattPitRB,169.9,0.0,0.0,0.0,0.1
275,Philip RiversIndQB,169.9,0.0,0.0,0.0,0.1
276,Adrian PetersonFARB,169.9,0.0,0.0,0.0,0.2
277,Deonte HarrisNOWR,169.9,0.1,0.0,0.0,0.8
278,Jeremy CoxDenRB,169.9,0.0,0.0,0.0,0.1
279,Quez WatkinsPhiWR,169.9,-0.1,0.0,0.0,1.6
280,Kenny YeboahFATE,169.9,0.0,0.0,0.0,0.0
281,Joe FlaccoPhiQB,169.9,0.0,0.0,0.0,0.1
282,Albert OkwuegbunamDenTE,170.0,0.0,0.0,0.0,0.2
283,Gardner Minshew IIPhiQB,170.0,0.0,0.0,0.0,0.5
284,Dan BaileyFAK,170.0,0.0,0.0,0.0,0.1
285,Bengals D/STCinD/ST,170.0,0.0,0.0,0.0,0.5
286,Cade JohnsonSeaWR,170.0,0.0,0.0,0.0,0.0
287,Kylin HillGBRB,170.0,0.0,0.0,0.0,0.4
288,Frank GoreQFARB,170.0,0.0,0.0,0.0,0.1
289,Matthew WrightFAK,170.0,0.0,0.0,0.0,0.0
290,James O'ShaughnessyJaxTE,170.0,0.0,0.0,0.0,0.2
291,Mike GlennonNYGQB,170.0,0.0,0.0,0.0,0.1
292,Jesper HorstedChiTE,170.0,0.0,0.0,0.0,0.2
293,Cody ParkeyQFAK,170.0,0.1,0.0,0.0,2.1
294,Robert Griffin IIIFAQB,170.0,0.0,0.0,0.0,0.1
295,Gerrid DoaksMiaRB,170.0,0.0,0.0,0.0,0.1
296,Dez BryantFAWR,170.0,0.0,0.0,0.0,0.1
297,Mike ThomasCinWR,170.0,0.0,0.0,0.0,0.1
298,Rashard HigginsQCleWR,170.0,0.0,0.0,0.0,0.5
299,Matt BarkleyTenQB,170.0,0.0,0.0,0.0,0.0
300,Nick FolesChiQB,170.0,0.0,0.0,0.0,0.1
301,Marcedes LewisGBTE,170.0,0.0,0.0,0.0,0.1
302,Nathan PetermanLVQB,170.0,0.0,0.0,0.0,0.1
303,Jake FrommBufQB,170.0,0.0,0.0,0.0,0.0
304,David MooreFAWR,170.0,0.0,0.0,0.0,0.2
305,Elliott FryFAK,170.0,0.0,0.0,0.0,0.0
306,Scotty MillerQTBWR,170.0,0.0,0.0,0.0,0.4
307,Delanie WalkerTenTE,170.0,0.0,0.0,0.0,0.0
308,Marquise GoodwinChiWR,170.0,0.0,0.0,0.0,0.2
309,Ty MontgomeryNOWR,170.0,0.0,0.0,0.0,0.2
310,Le'Veon BellFARB,170.0,0.0,0.0,0.0,1.4
311,Mekhi SargentQTenRB,170.0,0.0,0.0,0.0,0.1
312,Greg OlsenSeaTE,170.0,0.0,0.0,0.0,0.1
313,Jordan LoveGBQB,170.0,0.0,0.0,0.0,0.5
314,Dwayne HaskinsPitQB,170.0,0.0,0.0,0.0,0.2
315,Case KeenumCleQB,170.0,0.0,0.0,0.0,0.1
316,Cole McDonaldFAQB,170.0,-0.1,0.0,0.0,0.1
317,Noah GrayKCTE,170.0,0.0,0.0,0.0,0.2
318,Matthew SlaterNEWR,170.0,0.0,0.0,0.0,0.0
319,Daniel HelmFATE,170.0,0.0,0.0,0.0,0.0
320,Cameron BrateTBTE,170.0,0.0,0.0,0.0,0.1
321,Javorius AllenFARB,170.0,0.0,0.0,0.0,0.0
322,Zane GonzalezDetK,170.0,0.0,0.0,0.0,0.1
